Number,Track Name,Main Artist,Related Artists
146,Palms of Victory,"Emmylou Harris, Dolly Parton, and Linda Ronstadt*",[]
16,Suckerpunch,The Refreshments*,[]
247,Tequila and Me,Kate Wolf,[]
4,You're Supposed to be Feeling Good,Emmylou Harris*,[]
26,Song for You,The Outlaws*,[]
21,Leave the City,Magnolia Electric Co.*,[]
235,Star Witness,Neko Case,[]
254,Please Be With Me,Cowboy,[]
102,Canola Fields,James McMurtry*,[]
127,Until You Came Along,Golden Smog*,[]
117,New Madrid,Uncle Tupelo*,[]
112,Salome,Old 97's*,[]
25,Under Control,MJ Lenderman*,[]
50,Wayside/Back in Time,Gillian Welch*,[]
244,Acuff Rose,Uncle Tupelo,[]
229,Snowin' On Raton,Townes Van Zandt,[]
240,Don't Let Me Come Home A Stranger,Tim and Mollie O'Brien *,[]
196,Acadian Driftwood,The Band,[]
189,The Eye,Waxahatchee,[]
104,"L.A. Freeway - Live in New York, 1972",Jerry Jeff Walker*,[]
76,Tearjoint,Dan Penn*,[]
139,Caledonia,The Gourds*,[]
66,Early Blue,F.J. McMahon*,[]
158,Perfect Timing,Drive-By Truckers,[]
124,"
<https://open.spotify.com/track/4C4tMiaVRICiMdswdA5kJf?si=3D463c3b582dea4d2=
d>**Farther
On Down the Road",Taj Mahal*,[]
191,I Had My Hopes Up High,Joe Ely,[]
204,Leaving Louisiana in the Broad Daylight,Emmylou Harris,[]
61,You Can Close Your Eyes,Linda Ronstadt*,[]
74,Last Lonely Eagle,New Riders of the Purple Sage*,[]
37,Amarillo Highway (for Dave Hickey),Terry Allen (and the Panhandle Mystery Band)*,[]
20,Gimme a Ride to Heaven Boy,Terry Allen*,[]
11,Down That Dusty Trail,Robert Earl Keen*,[]
176,Desperados Waiting For A Train,Guy Clark,[]
129,She's Acting Single (I'm Drinking Double),Wednesday*,[]
69,What's the World Got in Store,Wilco*,[]
200,Fire on the Mountain,The Marshall Tucker Band,[]
108,The Old Black Hen,Songs: Ohia (and Lawrence Peters)*,[]
6,Telephone Road,Steve Earle*,[]
134,Song of Love and Peace,Cowboy*,[]
269,Jenny Brown,The Gourds,[]
141,Codeine,Jason Isbell*,[]
150,Indianapolis,"""The Bottle Rockets"" Year: 1997",[]
219,16 Days,Whiskeytown,[]
263,Even Cowgirls Get the Blues,Emmylou Harris,[]
32,Good Time Charlie's Got the Blues,Danny O'Keefe*,[]
217,Love's Gonna Blow My Way,Steve Earle,[]
10,Rock Me on the Water,Linda Ronstadt*,[]
33,Stolen Car,Ox*,[]
41,West,Lucinda Williams*,[]
89,Tear Stained Eye,Son Volt*,[]
18,Anniversary Song,Cowboy Junkies*,[]
128,Everywhere I Go,Willie Nelson*,[]
169,All Sewn Up,Lucero,[]
192,Fox on the Run,Tom T. Hall,[]
175,Deep Red Bells,Neko Case,[]
47,"High, Low and In Between",Townes Van Zandt*,[]
224,The Boxer,Emmylou Harris,[]
232,A Few Simple Words,Cowboy Junkies,[]
156,Full Circle Song,Gene Clark Year: 1973,[]
94,Pork and Beans,Jake Xerxes Fussell*,[]
237,The Prettiest Thing,The Modern Don Juans (and David Childers),[]
9,Cigarette Machine,Fred Eaglesmith*,[]
92,More Than I Can Do,Steve Earle*,[]
250,Easy's Gettin' Harder Every Day,Iris DeMent,[]
188,No Ordinary Blue,John Prine,[]
136,Demonic Possesion,Drive-By Truckers*,[]
68,Lake Marie,John Prine*,[]
100,Gone Tomorrow,Lambchop*,[]
245,Down the Road,Steve Earle,[]
258,Detroit or Buffalo,Barbara Keith,[]
122,Hell,Waxahatchee*,[]
239,What of Alicia,Terry Allen,[]
