Number,Track Name,Album,Main Artist,Related Artists,Spotify Link,Album Wikipedia,Related Artists - Album,Artist Wikipedia,Related Artists - Other,text_body
174,Son of a Rotten Gambler,Cimarron,Emmylou Harris,[],https://open.spotify.com/track/3CWlwZolwYqxLRLbG9n1cJ,https://en.wikipedia.org/?curid=3926295,Brian Ahern; Joe Allen; Mike Bowden; Tony Brown; Barry Burton; James Burton; Charles Cochran; Donivan Cowart; Hank DeVito; Steve Fishell; Wayne Goodwin; Emory Gordy Jr.; Glen Hardin; Emmylou Harris; Don Johnson; Paul Kennerley; David Kirby; Albert Lee; Kenny Malone; Herb Pedersen; Mickey Raphael; Frank Reckard; Ricky Skaggs; Buddy Spicher; Fayssoux Starling; Barry Tashian; John Ware; Cheryl White; Sharon White; Don Williams,https://en.wikipedia.org/?curid=123572,Brian Ahern; Paul Kennerley; Emmylou Harris; James Burton; Ricky Skaggs; Barry Tashian; Don Williams,"10-30-2024: Son of a Rotten Gambler
_______________________________


Song #174: ""Son of a Rotten Gambler""
Who Made it: Emmylou Harris
Year: 1981
_______________________________


Thoughts: The best part is the gear shifting. Two layers of Harris branch at 1:29, then split high (1:59), low (3:03), and in-between (the rest). The ramp-up at 1:59 feels like this:


 Music_Meme.jpg 


Chip Taylor had the pieces in place with his original in '73, but lacked gas. Anne Murray did a cover that sold well in Canada, produced by Brian Ahern — aka ""Mr. Emmylou Harris"" from '77-'84  — which (probably) explains how ""Gambler"" came across Emmylou's desk.


I can get behind love, honesty, and 'being [your] own man-handler' as righteous virtues. As for gambling being rotten, not so much. The song speaks to the father, not the son, though, so maybe a higher standard makes sense.


This bit makes me think:


Will the devil be getting to you
As you look back over what you've done?
What you've done, was it for reason or for rhyme?
Was it just for fun?


Tough calls. Would you do what you do if you knew?


–Matt"
175,Deep Red Bells,Blacklisted,Neko Case,[],https://open.spotify.com/track/4jUBzVmMj8FRUjTKcOqgTn,https://en.wikipedia.org/?curid=1217668,Neko Case; Kelly Hogan; Mary Margaret O'Hara; Dallas Good; Joey Burns; Brian Connelly; Jon Rauhouse; Howe Gelb; Tom V. Ray; John Convertino,https://en.wikipedia.org/?curid=306429,Neko Case; Kelly Hogan,"10-31-2024: Deep Red Bells


Note: some references to bad people below. Skip if you'd rather dodge it.
_______________________________


Song #175: ""Deep Red Bells""
Who Made it: Neko Case
Year: 2002
_______________________________


Thoughts: If there's such a thing as a ""canonical alt-country Halloween song,"" then ""Deep Red Bells"" is it. The album —Blacklisted * — is uneasy. It starts with ""Things that Scare Me,""  which sets up the eerie opening riff to ""DRB."" Case — who grew up in Tacoma — wrote the song about the Green River Killer. Here's an excerpt from an interview she did with the AV Club in 2006:


*********
 NC_Int_Exc.png 


*********


There've been a slew of emotions on this list, but fear (like that, not like ""Ready or Not"") isn't a common one. Case handles it with finesse, keeping poetic (silver tongues, Valley of the Shadow) and humdrum (popsicles, engine oil) phrases in balance. It adds up to be heady and keen.


There's sleight-of-hand in the third verse: the lyrics dive while the band jams. Case sings about lost souls and murders to the tune of bouncy bass walk-ups and Telecaster waves. You'd want to dance if it weren't wrong:


Does your soul cast about like an old paper bag
Past empty lots and early graves
Those like you who lost their way
Murdered on the interstate
While the red bells rang like thunder


The delivery on 'rang like thunder' is fantastic. Worth a hard listen.


–Matt


*The last track (""Outro With Bees (Reprise)"") reminds me of the NM_AM recording from F&L #45.


November `24 (176 through 205)"
176,Desperados Waiting For A Train,Old No. 1,Guy Clark,[],https://open.spotify.com/track/1SYXW8nW5zlZbPxeVzoZWs,https://en.wikipedia.org/?curid=3487627,Guy Clark; Mike Leach; Jerry Kroon; Larrie Londin; Chip Young; Pat Carter; Steve Gibson; Jerry Carrigan; Dick Feller; Jim Colvard; Reggie Young; Hal Rugg; Jack Hicks; David Briggs; Chuck Cochran; Shane Keister; Johnny Gimble; Mickey Raphael; Lea Jane Berinati; Rodney Crowell; Emmylou Harris; Gary B. White; Florence Warner; Steve Earle; Sammi Smith,https://en.wikipedia.org/?curid=671637,Emmylou Harris; Rodney Crowell; Steve Earle; Guy Clark,"11-1-2024: Desperados Waiting for a Train


_______________________________


Song #176: ""Desperados Waiting For A Train""
Who Made it: Guy Clark
Year: 1975
_______________________________


Thoughts: Almost missed it. Out and about. Deserves better.


–Matt"
177,High Water,Anodyne,Uncle Tupelo,[],https://open.spotify.com/track/6BYsLBMcO4CECd63fRgoDI,https://en.wikipedia.org/?curid=3700887,Jay Farrar; Jeff Tweedy; Max Johnston; John Stirratt; Ken Coomer; Doug Sahm; Lloyd Maines; Joe Ely; Brian Henneman; Dave C. Birke; Dan Corrigan; Scott Hull; Brian Paulson,https://en.wikipedia.org/?curid=425087,Jay Farrar; Jeff Tweedy; Uncle Tupelo; Brian Henneman; Ken Coomer; John Stirratt; Max Johnston; Doug Sahm; Joe Ely,"11-2-2024: High Water


Gonna do a combo today. I meant to give ""Desperados"" a full-treatment, but I got caught up pursuing robustness. For some context*, you should watch this video, where Clark plays a bit, describes his work routine, and outlines the story behind ""Desperados."" He has good take on the intersection of inspiration and discipline in (song)-writing:


""There's magic involved, but you've gotta be...you gotta be here with your guitar tuned and your pencil sharp...and then let the magic happen.""


Clark wrote ""Desperados"" about Jack Prigg, an old man from his childhood who acted as a de facto father while Clark's real one was fighting in WWII. Here's a picture of Jack (big) and Guy (small):


 GC_JP.png 


If I'd made time to write yesterday, too many listens might've thrown off my Friday vibe. It's a better song for a slow day when you've got the bandwidth to haul up memories. The reverence/confusion/indignance in this line stands out:


Well to me he's one of the heroes of this country
So why's he all dressed up like them old men


It's hard to watch role models fade — one of those ""know it, but don't feel it until you see it"" situations, full of offensive impermanence. 


It reminds me of a story: when I was five, I had a friend who was six. I was looking forward to my birthday because I wanted to be the same age as him. I told him the good news on the day, then learned that he'd turned seven in the meantime —rotten luck. I'd forgotten that everyone else was getting older, too. 


Silly, maybe, but the feeling still gets me. Six to seven isn't too bad, but it adds up:


And then the day before he died, I went to see him
I was grown and he was almost gone
So we just closed our eyes and dreamed us up a kitchen
And sang another verse to that old song
""Come on, Jack, that son of a bitch is coming""
And we're desperados waiting for a train


John Henry knows the feeling.
_______________________________


Song #177: ""High Water""
Who Made it: Uncle Tupelo
Year: 1993
_______________________________


Thoughts: Downer double header. There's some thematic overlap between ""Desperados"" and ""High Water"": 


We can't seem to find common ground
I can see the sand and it's running out
It was only circumstances
But it's the difference
It gets in the way
No race is run in this direction
You can't break even
You can't even quit the game


Jesus. That won't get you rolling, but it has its moments. Anodyne was the last Tupelo album before the Farrar vs. Tweedy split up, which makes the 'common ground' line extra pertinent in hindsight. It's exhausting, exhausted, and lovely.


Note the high-quality pedal playing — maybe the best yet? Recurring F&L fringe-member Lloyd Maines did the honors.. He grew up in Lubbock and played/plays in Terry Allen's Panhandle Mystery Band.*** Here's a picture of them at the Lubbock on Everything release concert (Maines left, Allen right):


 LM_TA.jpg 


When you listen to a concert recording** of ""High Water,"" it sounds almost the same as it does on the album (sans Lloyd). That makes sense, because every track on Anodyne was recorded in one go, with no overdubbing. It's natural, full, and cohesive. It's life-like, taken literally.
–Matt


*Covers of ""Desperados"" from other F&L'ers: Jerry Jeff, Willie/Johnny/Waylon/Kris, Steve.


**As a bonus, check out their show-closing cover of ""Gimme Three Steps"". They play with the Bottle Rockets, who showed up in F$L #150 — blazing, fun, and almost sufficiently guitared.


***Pulling some interesting background about Allen's ""Bloodlines (I)"" and ""Bloodlines (II)"" from Truckload of Art:


 ToA_Exc_LM.jpg"
178,One More Dollar,Revival,Gillian Welch,[],https://open.spotify.com/track/42yf3P1ueaRzqn63p5tmGV,https://en.wikipedia.org/?curid=3060100,Gillian Welch; David Rawlings; James Burton; Armando Campean; Buddy Harman; John Hughey; Roy Huskey Jr.; Jay Joyce; Jim Keltner; Greg Leisz; T Bone Burnett,https://en.wikipedia.org/?curid=897049,David Rawlings; Gillian Welch; James Burton; Jim Keltner; Buddy Harman,"11-3-2024: One More Dollar


Closing in on the halfway point. I'm planning a ""mid-year review"" for next Saturday. If the spirit moves you, it could be a good week to listen through the back catalog. Generate some comments/anecdotes/favorites and I'll shout 'em out.


I'm tapping in for some GW today — can't let KD have all the fun. It's too late now for a Sunday nap, but Welch's music is perfect for those (in a good way). Keep that in mind for next week.
Kevin mentioned that I love singing Welch, which is true. ""OMD"" is one of my go-tos. I got on the Gill train in the fall of 2018 (a previously mentioned formative time). She'd been on my radar. The summer before, she played a show in Hanover. I missed it. I can't find videos or anything much online, but I found proof that it happened in a pdf of an old Hop program:


 GW_Proof.png 



That summer, I was taking a writing class with William ""Baller Bill"" Craig. He'd been in a motorcycle accident and couldn't walk until his legs got better. I ended up with a gig helping him get to our third floor classroom: I'd fetch a mobility scooter from a hiding spot in the library, guide* it down an elevator and outside to meet him, then open doors and push elevator buttons for him on the way to class.


I liked the scooter trips: they gave me good chances to pick Bill's brain for wisdom. One day, we went by a poster advertising the GW show. He stopped to look at it and told me that she wrote ""one of the best lines ever written"" — not in ""OMD,"" but in a song we'll get to later. The GW literate can try to guess in advance which one he meant.


Another memory from Bill's class: I was daydreaming about a pair of crushes, fanning mental flames and weighing wishful options. There's nothing unordinary about that, but the moment struck a chord: all possible joie de vivre came right down on me. It was a great summer, and that was a nexus — not the best moment, but the most conscious. 


Something similar happened two Fridays ago when I was sitting in a 4:00pm seminar. I had more attention on my beer and thoughts than whatever was on the board. Sure enough, the same feeling** came around — must be the right direction.


_______________________________


Song #178:  ""One More Dollar""
Who Made it: Gillian Welch
Year: 1996
_______________________________


Thoughts: Got a little sidetracked in the intro. GW'll do that. ""OMD"" is from her first album. Plotwise, ""Dollar"" comes pretty close to ""Tecumseh Valley"" (F&L #85). I think it's fair to assume some amount of cross-pollination: watch this interview to hear about GW and DR opening for TVZ and how he influenced them. They play a good cover of ""Snowin' on Raton.""
Welch puts a lot of magic into the third verse:


A long time ago I left my home
Just a boy passing twenty
Could you spare a coin and a Christian prayer
For my luck has turned against me


Amazing third line vocals — maybe our best 'and'? I'm past 'passing twenty', but losing luck isn't any easier now than it was then.


Throughout, the hope's the kicker. Welch's boy seems sure he's almost done, almost home. One more dollar. We, outside, see the slump. We see the downward trend. We hope he's right but have our doubts.


Happy ending: I claim, based on lyrical subtlety, that he makes it out. Observe the end of the first three choruses:


When I reach those hills, boys, I'll never roam
'Cause one more dollar and I'm going home


Now, the song's last lines:


When I reach those hills, boys, I'll never roam
'Cause one more dollar and I'm going home
One more dollar
Boys, I'm going home


The extra lines matter. There's no ''cause' and 'and', so no 'if' and 'then'. He declares: I'm going home. In my mind, he made his dollar.


–Matt


*I felt, by principle, that I shouldn't actually ride the scooter, so I just walked along next to it and hunched over to steer.


**I didn't say much about it when it had its turn, but ""Slice of Life"" (F&L #38) does a good job getting at the feeling of choking (up, not out) with richness."
179,Tattler,Paradise and Lunch,Ry Cooder,[],https://open.spotify.com/track/0Z8PnlfoTklzYEvFEsWlEc,https://en.wikipedia.org/?curid=4200361,Ry Cooder; Milt Holland; Jim Keltner; Ronnie Barron; Plas Johnson; Oscar Brashear; Earl Hines; George Bohanon; Nick DeCaro; Lee Herschberg,https://en.wikipedia.org/?curid=205506,Ry Cooder; Jim Keltner,"11-4-2024: Tattler
_______________________________


Song #179: ""Tattler""
Who Made it: Ry Cooder
Year: 1974
_______________________________


Thoughts: Beyond having a great name, Ry Cooder made some great tunes. There's ""Tattler,"" and there's his soundtrack to Paris, Texas, which you can hear in the trailer. PT was one of the movies I watched as research before moving to Houston. The skyline shot (1:17) was convincing.


 HTX_Skyline_PT.png 


""Tattler"" starts big. Hard to describe the guitar: spacey, but close. More resonant than usual. The deep harmony (sung in the chorus, hummed in the verses) adds a nice layer. Ronstadt does a cover.


The lyrics split time between scoundrels, fools, and folks caught between. Cooder counsels all:


Mmmm, oh, no
It's not hard for you to understand
True love can be such a sweet harmony
If you do the best that you can


Clean advice — is it workable?


–Matt"
180,One Time One Night,By The Light Of The Moon,Los Lobos,[],https://open.spotify.com/track/25x4t3MC6HhmMsx1WAztg2,https://en.wikipedia.org/?curid=6009099,David Hidalgo; Cesar Rosas; Conrad Lozano; Steve Berlin; T-Bone Burnett; Mickey Curry; Anton Fier; Mitchell Froom; Ron Tutt; Bernie Grundman; Larry Hirsch; Mark Linett; Lendon Flanagan,https://en.wikipedia.org/?curid=161395,Los Lobos; David Hidalgo; Cesar Rosas; Conrad Lozano; Steve Berlin; Mitchell Froom,"11-5-2024: One Time One Night


_______________________________


Song #180: ""One Time One Night""
Who Made it: Los Lobos
Year: 1987
_______________________________


Thoughts: Thought I'd get this one out early.  Add it to the ""sounds happy until you parse the lyrics"" folder. Lobos didn't play it when I saw them last fall; if they had, I would've brought more emotion than this crowd.*


I picked this one for some nuance. The vignettes are grim — sour dreams. Don't make the ""Born in the USA"" mistake and hear it as an anthem. Take the bridge:


People having so much faith
Die too soon while all the rest come late
We write a song that no one sings
On a cold black stone where a lasting peace will finally bring


It's a critical song, sure, but of what? Not the people: it tries to do them justice. They're good folks caught in a whole that's less than the sum of its parts. 'Another wish unanswered in America' isn't a dig at the wishers, and ""OTON"" isn't a sermon. It's angry and worn and keeps getting up:


The sunlight plays upon my window pane
I wake up to a world that's still the same
My father said to be strong
That a good man could never do wrong
In a dream I had last night in America


Is it underly cynical to hear some hope? The music video — an ensemble collage — puts some trees back in the forest. Clichéd or not, focus on the folks.


–Matt


*Guitarist Cesar Rosas rocks the jean jacket/bolo-tie/wayfarers combo."
181,All Around You,A Sailor's Guide to Earth,Sturgill Simpson,[],https://open.spotify.com/track/6Kt4ZcgT2vCUq7QezTTcES,https://en.wikipedia.org/?curid=49643948,Sturgill Simpson; Miles Miller; Robert Emmett; Dan Dugmore; Jefferson Steinberg; Dave Roe; Laur Joamets; Jefferson Crow; Garo Yellin; Arthur Cook; Jonathan Dinklage; Whitney LaGrange; Neal Sugarman; Dave Guy; Ian Hendrickson-Smith; Clark Gayton; Dougie Wilkinson; Kevin Black; David Ferguson; Gavin Lurssen; Sean Sullivan; Geoff Allan; Ebonie Smith; Kilian Eng; Mark Stutzman; Matthew Meiners,https://en.wikipedia.org/?curid=42522959,Sturgill Simpson; Miles Miller,"11-6-2024: All Around You
_______________________________


Song #181: ""All Around You""
Who Made it: Sturgill Simpson
Year: 2016
_______________________________


Thoughts: Peaceful words from Sturg:


There will be nights
That go on forever
Like you're long, lost at sea
Never to be found
Just know in your heart
That we're always together
And long after I'm gone
I'll still be around


""AAY"" uses some of the same Sailor's Guide tools (horns, strings, situational sound-effects) as ""Pollywog"" (F&L #65). The sax solo is gravy.


Per usual, I'll plug some Stu-grass.


–Matt"
182,Lioness,The Lioness,Songs: Ohia,[],https://open.spotify.com/track/35ndyA0Q0cdAsz4778es6R,https://en.wikipedia.org/?curid=7707747,,https://en.wikipedia.org/?curid=1089293,,"11-7-2024: Lioness


Topic: fatal(istic) attraction.
_______________________________


Song #182: ""Lioness""
Who Made it: Songs: Ohia
Year: 2000
_______________________________


Thoughts: Take a trip to the corner of sad and sexy. ""Lioness"" comes from The Lioness, which is chockablock with slow-burn, rough-cut yearning. Verse three gives you a sense of the tone:


Whether you save me
Whether you savage me
Want my last look to be the moon in your eyes
Want my heart to break if it must break in your jaws
Want you to lick my blood off your paws


Most maulings don't sound that steamy — it takes inspiration. With some (minimal) sleuthing, we can guess whom Molina had in mind: his intro to ""Lioness"" in this live recording explains that he lifted most of ""Cabwaylingo"" from a band named Lion ('you don't know them now, but I think you're gonna know them') with a songwriter named Emma — that's Emma Louise Niblett, aka Scout Niblett, who went on to collaborate with Molina/Ohia and recorded on the same label. Scout has her own lion song, which came out on the same single as a dueted version of ""Lioness.""


Not to ascribe intention, but The Lioness sounds like an involved attempt to get Scout's attention. I support the vision, but Molina seems to know that the 'eventual truth' won't be rosy. Still, he proceeds. If you're headed to ruin anyway, you ought to pick your path — break if it must break.


–Matt"
183,V,Down By The Old Mainstream,Golden Smog,[],https://open.spotify.com/track/3Q8uAWQZwdzUflCGYwPTc1,https://en.wikipedia.org/?curid=2341953,Andrew Conlee,https://en.wikipedia.org/?curid=2341829,Golden Smog,"11-8-2024: V


_______________________________


Song #183: ""V""
Who Made it: Golden Smog
Year: 1995
_______________________________


Thoughts: The premier midwestern alt-country supergroup is back with a jam. Gonna punt a little today then go long tomorrow (mid-year review), but I like 'when she smiled everything else died' and 'buyin' shots and breakin' hearts'. 


""V"" reminds me of ""Some New Town"" (F&L #98), both mourning/toasting a friend who moved on. The music video (featuring young Tweedy and some Miller High Lifes) doubles down on the theme.


Good harmonica, good mandolin, good piano. Good vibe[s].


–Matt"
184,Cowboy Song,Jailbreak (Deluxe Edition),Thin Lizzy,[],https://open.spotify.com/track/2H82AQCQNc4TH2yVcYKIID,https://en.wikipedia.org/?curid=5416735,Phil Lynott; Scott Gorham; Brian Robertson; Brian Downey,https://en.wikipedia.org/?curid=166705,Thin Lizzy; Phil Lynott; Scott Gorham; Brian Downey; Brian Robertson,"11-9-2024:  Cowboy Song


Yesterday was the ""1"" in 182 + 1 + 182 = 365. Now that we're past the midpoint, it'll be good to look back. I've been listening through the list, trying to distill some pillars. I put those below in a trio of trios. With each, I put a few songs that speak to the point.


After that, I thought about the other bits: the process, the writing, the thinking. I couldn't/wouldn't reflect on the project without reflecting on my days, so there's some of that too.
Lastly, there's the song, which is a favorite.


*****************************************


Fair assumption: someone worked hard on these. They turned something foggy into something solid. They compact and encrypt and engage with constraints. On our end, we take the lump and digest it. We work it around and tease out strands. It's better to work in batches: shaking one rock won't make as much dust as banging a few together.


We have a full barrel. After twenty-six weeks of tumbling, you'd hope to glean some wisdom. I've had themes floating around in my head for a while, informed by heuristic tallies and trends. I sat down this morning and picked nine standouts: three things to avoid, three to feel, and three to do.


Gleanings Pt 1: Recurring Pitfalls


If half the thing is fussin', we ought to know its names. These are a few. They contain many woes. They run in tandem with good things, which makes them hard to dodge. Inevitable pain is pain nonetheless.
* ""Sleeping on Hold""-ism: This is the issue I've gone after most. It turned up early and kept coming back. It's a problem with living on mute. You could hit mute deliberately (as in ""Flatness"") or gradually (as in ""SoH""). You lose agency and amplitude. I cite ""TGWDO"" and ""AtGD"" as examples of folks getting past the mutedness, waking up, and taking the reins.
Songs of Reference: Flatness, Sleeping on Hold, The Girl Who Danced Oklahoma, Across the Great Divide
* PSWS: Aka ""pleasuring self with sadness."" I took the phrase from East of Eden, which got into my spine this summer. It's a tricky issue and an easy trap — in the wrong light, it looks fine. I see PSWS cropping up two ways. The first is the usual sad-bastardry and self-pity that's easy to spot, which I think is less harmful. Everyone wallows.
The second, more hurtful version sneaks in as virtue. What I mean: consider ""ample life,"" full of ups and downs, as an opposite to SoH-ism. Under that scheme, there's good value in bad times, taken as part of the full, conscious package. If you take that idea too far, though, and you get too conscious of the ""good in bad"" idea, the whole thing crumbles. You bleach the blues.


Sadness should be ignorant. Fuss in earnest, not in quotes.


Songs of Reference: Right in Time, Cigarette Machine, Salome, Lioness, Tearjoint
* Overpolish: This is a musical pitfall with a human counterpart. Overproduction makes a song bland. Some quirks and roughness add barbs, widen the envelope, and catch interest. To this point, some of the moments I've liked most are voice cracks, odd phrases, and risks — the notes that hit the heart. The human counterpart to overproduction is hyper-improvement, i.e. fixating on development at the cost of freedom. Routine and moderation are fine, but shouldn't outcrowd whim and excess.
Songs of Reference: Player, The Living Bubba, Cowgirl in the Sand


Gleanings Pt 2: Fine-Grained Emotion


Here's something obvious worth noting: the song/emotion street runs both ways. I sketched a diagram in #75 that forgot the role of feeling in writing. Since songs incite feelings, they also catalog them. Having a good stock of nuanced media can help pin-down nuanced emotions. I mean something like these posters:


but more like this:


 Album_Board.jpg 


The advantage here is that the extra musical dimensions detect/define emotions that are hard to name. The more you hear them, the more you recognize them. Here are some big ones:
* Highway Kinded-ness: Not just rambling, not just restless. It has more to do with a bet on what's next. Sometimes we live for ourselves; sometimes we live for others. By and large, most folks shift from the former toward the latter as they go along. Highway Kinded-ness is hard to bring along. The song that does the best job explaining the issue isn't on our list, so I'll link it (""Against the Wind""*) and trust you to listen.
Songs of Reference: Return of the Grievous Angel, (High, Low And In Between), Leave the City, She Ain't Going Nowhere, Amarillo Highway, Someday
* Unknowability of Other; Incommunicability of Self: This is a frustration and central fear. We worry that we can't bridge the gap, from them to us or us to them. The best songs succeed, but still feel afraid. Can normal folks keep up?
Songs of Reference: Why She's Acting this Way, Tennessee Rose, The Promise, Far from Me, Ready or Not
* The Cosmic Funnel: See F&L #100 in particular for more on this. It's a feeling of subtle significance that swells up and chokes you. It's elusive and grand and a sign of good living. It sits in your throat and ribs and eyes. It's the opposite of SoH-ism.
Songs of Reference: Hands on the Wheel, Slice of Life, That Old Time Feeling, Gone Tomorrow


Gleanings Pt 3: Modes of Action


Practicalities: can we put this to use? What does ""alt-country"" offer to help us live well? ""Guiding Principles"" would be a stretch, but ""useful lessons"" feels right. If you're stuck or pitfallen, try one of these:
* Taking it Pretty Far: FBOFW, I've absorbed ""Crowbar"". 'You can take it pretty far on a prayer that's pale and synthetic' has been a recurring tagline. Don't overdo it, but you need some of these to move the rig forward. It's an instance of itchin', of spirit leading the charge. You can also take it pretty far on something sturdy and natural, but those are hard to come by.
Songs of Reference: Big Brown Eyes, Crowbar, To Beat the Devil, Long Time Gone
* Falling (and Flying): This goes hand-in-hand with taking it pretty far, which often entails a fall. I'll re-link two of the best non-listable songs: ""When You Come Back Down"" and ""Gone For Good."" As it happens, Jeff Bridges has a movie where he plays a Waylon-ish washup and sings a song called ""Fallin' and Flyin'.""
The point: some (re)constructive downtime works wonders. Progress through action/reflection. Go home when you can, then leave.


Songs of Reference: When I Fall, These Days, Gravity's Gone, Wichita, More Than I Can Do
* Train Stuff: Here's the less glamorous side of growing: the hard work, spit and dirt, bootstraps pull-up  — the land of the noble John Henrys. The train is a hero (to Snider's friend) and omen (to the ""JRB"" crew). It's rhythm and icon. This is the ""everyman ideal"" of discipline, hope, and grit. This is the foundation.
Songs of Reference: Shoestrings, Play a Train Song, James River Blues, Little Silver Heart, One More Dollar


*****************************************


Reflection on Process: Halfway came fast. The years don't last like they used to.
It's been an interesting project. I underestimated the challenge of writing (almost) every day. It didn't take long for ""describing sounds"" to play itself out — I hit my ""twang"" quota early. I can't compete with Wikipedia biographically, and lyrical analysis ends up feeling snooty. Personal connections and anecdotes are fine, but shouldn't be the whole thing. Free-form word association is good for one in twenty. I usually try to mix all/most of the above and to throw in some good pictures. I expect the length of emails to polarize as we go: shorter to shorter and longer to longer, with fewer in between.


I feel bad when I punt, but I'd rather make it to the end of the year with a mix of strong days and weak days than to call the thing off. Sometimes the punting comes from honest busyness or unexpected schedule changes. Other times, I don't have much to say — could be that the song's less interesting than I thought, or I could just be tired. 


As a rule of thumb, the project should be enriching, not distracting. I've converted social-media and streaming hours (and some working hours) into F&L time, but I shouldn't prioritize an email over a party, a friend, or a walk.


It's all pro bono, so I'll do what I want.


Another unexpected challenge: I didn't account for my shifting perspective. When I made the list, it felt cohesive. It fit my state of mind. That state of mind, though, was backward facing and reflective. I was picking songs that had emotional attachments from the past few years, mostly from 18F through 23S. I didn't plan for change. Last year was pretty ""head-down, nose in the books,"" so my thoughts were still behind me. This year, for the better, has made me look around — new characters, new perspectives. Old loops are out; fresh loops are in, changing what I want to hear and write.


The change crops up in a few ways: I've pushed some songs from the original list downstream when they haven't spoken to me. On the other hand, I've slipped in some new ones. Some have held strong: ""Crowbar"" was an add-in, and it's been crucial. Others not so much: ""One Promise Too Late"" was just the thing on its day, but has lost some oomph since then. I don't want that to happen too often. I'm confident that the songs from the original list have lasting power, so, for the most part, I'm going to stick to them. 


It's tricky: the distinction between reflective piece, critical piece, and journal gets blurry — nature of the beast.


Other than w.r.t. my schedule, has this project changed my habits? Probably. I'd say I've been more observant. Having a (self-imposed) obligation to fill an email makes me pay attention to what I think. I've listened to less new music than usual, but I've listened closer. It's also been nice to have another egg in my basket, something fulfilling and non-professional. I'll be proud if I last 'til May.


There've been some side effects w.r.t. the PSWS phenomenon above. There were a few days not too long ago (#164-169) when I felt pretty glum — not the issue. Behind the glumness, there was some satisfaction — the issue. I'd been preaching the 'thankful for the blues' line so often that I was (almost) glad they'd caught me — not really, but almost. It was uncomfortable, dissonant: I was outside myself. That's not the point. Again, sadness should be ignorant, not coated in context. It's fine to look back, years down the line, and be thankful for the good times that came by way of bad times, but you shouldn't savor misfortune. Things get muddy and stink of infinite genies (pg 121).


Overall, though, I've come out ahead. Much more on the way. For now, let's get to the song.


_______________________________


Song #184: ""Cowboy Song""
Who Made it: Thin Lizzy
Year: 1976
_______________________________


Thoughts: Yee-haw. Someone must have called it. I blundered last night and added this instead of ""V"", then caught myself this morning. Maybe no one noticed.


Even with a different title, ""Cowboy Song"" would be on here.** The energy is crazy. Famously phenomenal bass from Phil. I started writing at 9:00am, it's 10:21pm, and I'm still amped. You can map about half of the preamble above onto the first lines after the riff drops:


I am just a cowboy lonesome on the trail
Lord, I'm just thinking about a certain female
The nights we spent together riding on the range
Looking back it seems so strange


Granted, ""female"" is an awkward choice, but the spice on ""Lord"" makes up for it. Later, we get Texas, another girl, and another spicy ""Lord"":


I was took in Texas I did not know her name
Lord, all these southern girls seem the same


The structure is similar to ""Tennessee Rose"" — refer to the diagram in F&L #78. Two feverish solos sandwich a tame (but sexy) interlude, which must be there just to give Scott and Gary time to rest.


The chorus sums it all up:


Roll me over and turn me around
Let me keep spinning till I hit the ground
Roll me over and let me go
Riding in the rodeo
Roll me over and set me free
The cowboy's life is the life for me


Big strum and it's done. Perfect.


–Matt


*The Highwaymen do a version, but Seger does it better. 'Moving eight miles a minute for months at a time' is a hall of fame lyric (and Strava title).


**Heavy-hitters agree: note the Thin Lizzy reference at 1:57 in ""Fifteen Keys"" from Uncle Tupelo.


Reply from Kevin Donohue:


I'll speak for one and speak for all when I say my half-year has been enhanced majorly, and my Sunday by this email. Also I made this a few weeks ago in anticipation for this moment and think it should be the cover photo, if Matt can get over his humility."
185,Don't Wanna Know Why,Pneumonia,Whiskeytown,[],https://open.spotify.com/track/3qpMAhDIMNh5jzRyr7GjBn,https://en.wikipedia.org/?curid=3349680,James Iha,https://en.wikipedia.org/?curid=1080769,James Iha,"11-10-2024:  Don’t Wanna Know Why


_______________________________


Song #185: ""Don't Wanna Know Why""
Who Made it: Whiskeytown
Year: 2001
_______________________________


Thoughts: I'm heading out to the 97's's concert in a minute. Maybe there'll be a part two when I get back — no guarantee.


Tagline today: ignorance.


–Matt


Addendum:


Reporting post show from the Metro 27 stop at Durham and 18th. The boys went HARD. I wondered if age had caught up to them, but they haven't slowed a lick.


Sufficiently peebered to enjoy the show solo.


Highlights were ""Rollerskate Skinny"", ""Smokers"", ""Barrier Reef"", and ""Timebomb"".


'I believe in love, but it don't believe in me' is a knockout in person.


""Timebomb"" was the closer — blew the roof off.


Can attest that Rhett Miller still rocks the long hair and OWNS the elbow-length windmill.


I've got a couple races coming up, but had to indulge in one cheeky Mawl-bruh while I walked to the bus stop — felt right.


Now I'm watching a cockroach on the curb and thinking about timebombs (in my mind, mom). 


Best show so far in Houston. Highly recommend. Heights Theater is a gem. I'll probably be back next week with buddies. 


...


Solo on the bus now. Last run of the night. Feel a part of my city. Good times; great oldies. Back to math tomorrow, but glad to jam tonight. 


–Matt"
